collection_id	collection_name	yoyo_id	primary_store
5699	Hooked		
5698	Holy		
5685	Genesis		
5700	Layover		
5701	Light Curve		
5702	Loupe		
5703	P3		
5704	Pocket		
5705	Rings		
5706	Squared		
5707	Step		
5708	Tilt		
5709	Uho		
5710	Atlas		
5712	Ipanema		
5713	Max		
5714	Meurice		
5715	Trenton		
11158	Uno	axor-uno-collection	yb
4852	Channing		
4851	Cascade		
8786	Cowbelle		
4850	Avon		
4849	Spectra		
4848	Karma		
4847	Ion		
4846	Cameron		
4845	Bijou		
4844	Aplomb		
4843	Sole		
4842	Pangeen		
4841	Mano		
4840	Gravity		
4839	Corrubedo		
4836	Ashanghai		
4837	Avico		
4838	Chandelier		
4835	0024 Collection		
4834	Wallflower		
4833	Tab		
4832	K Tribe		
4831	Clessidra		
4828	Ray		
4829	Stick		
4830	Cicatrices De Luxe		
4826	Contardi		
4827	Lumi Mochi		
4825	Tube		
4824	Tank		
4823	Fresnel		
4822	Original		
4821	Grid		
4820	Edge		
4819	Vasily		
4818	Nelly		
4817	Nafir		
4815	One Line		
4816	Clavius	axo-light-clavius-collection	yl
4814	Nur Hal		
4813	Flowerpot		
4812	Bellevue		
4676	Enzis Rail		
4675	Boa Rail		
4673	High-Line Cable		
4674	V/A Rail		
4672	Flex-Line Rail		
4671	Flight Rail		
4670	Sospesa		
4669	Lumi		
4668	Beluga		
4667	Zylinder		
4666	Zelda		
4665	Xxl		
4664	X-Club		
4663	Wood Veneer		
4662	Wonton		
4661	Wind		
4660	Wave		
4659	Wave		
4658	Watercolors		
4657	Wands		
4656	Wagashi		
4655	Votivo		
4654	Void		
4653	Visual		
4652	Victory		
4651	Vertex		
4650	Ventana		
4649	Ventana		
4648	Velo		
4647	Vela		
4646	Veil		
4645	Valley		
4644	UV		
4643	Uriel		
4642	Ultra Slim		
4641	Ukiyo		
4640	Two Circuit Monorai		
4245	Connetix		
4639	Twist		
4638	Twiggy		
4637	Tuxedo		
4636	Tubo		
4635	Tropico		
4634	Troll		
8780	Modular		
9201	Moser		
4633	Trimble		
4632	Tribeca		
4631	Tress		
4630	Treluci		
4628	Tree		
4629	Tree		
4574	Soleil		
4575	Sor		
